Movie_ID	title	runtime	theatre_count
222	all the money in the world	132.0	2074.0
223	tri bogatyrya i printsessa egipta (russia)	75.0	
224	tout la haut (france)		
225	tiger zinda hai (india)	145.0	299.0
226	velaikkaran (india)	160.0	
227	second time around the (canada)	107.0	1.0
228	paris opera ballet tribute to jerome robbins (france)(2018)	140.0	
229	painted skin the double mask (china) (2018)	82.0	
230	mochila de plomo (argentina) (2018)	65.0	
231	yolki novye (russia) (2017)	85.0	
232	mule the (2018)	116.0	2588.0
233	odiyan (india) (2018)	167.0	
234	miamor perdido (spain) (2018)	103.0	
235	met opera la traviata (2018)	212.0	
236	ming wang xing shi ke (china) (2018)	150.0	
237	man who stole banksy the (italy) (2018)	93.0	
238	keepers of the flame (ireland) (2018)	85.0	
239	journal 64 (denmark) (2018)	119.0	
240	jesucristo superstar un hito en la historia del musical espanol (spain)(2018)	60.0	
241	johnny (india)(2018)	120.0	
242	holding hands (china) (2018)	100.0	
243	haru matsu bokura (japan) (2018)	109.0	
244	impulso (france) (2018)	85.0	
245	eoleuni doimyeon (south korea) (2018)	98.0	
246	if beale street could talk (2018)	119.0	4.0
247	den pobedy (germany) (2018)	94.0	
248	dragon ball super broly (japan) (2018)	100.0	1247.0
249	first time the (china) (2018)	90.0	
250	conversazioni atomiche (italy) (2018)	84.0	
251	da xiang xi di er zuo (china) (2018)	230.0	
252	spindl (cz)	98.0	
253	sakka podu podu raja (india)	129.0	
254	romans (uk)	91.0	
255	chun tian de ma la song (china) (2018)	90.0	
256	rangreza (pakistan)	145.0	
257	seven fright nights (2017)		
258	promesse de l aube la (france)	131.0	
259	muumien joulu (finland)	82.0	
260	post the	115.0	9.0
261	quizas hoy (argentina) (2016)	77.0	
262	mult v kino vypusk no 65 (russia)	45.0	
263	miseinen dakedo kodomo janai (japan)		
264	mollys game	140.0	271.0
265	lesa humanitat (spain)	109.0	
266	martilarin efendisi (turkey)	120.0	
267	hotel infierno (argentina)	84.0	
268	huisvrouwen bestaan niet (netherlands)	103.0	
269	jing hun qi you (china)	90.0	
270	hostiles (2017)	127.0	3.0
271	hello (india 2017)	131.0	
272	gordon and paddy (sweden) (2017)	62.0	
273	garde alternee (france)	104.0	
274	dus kirginlari (turkey)	98.0	
275	cbeebies christmas show thumbelina the (uk) (2018)	73.0	
276	father figures	113.0	2902.0
277	bon bini holland 2 (netherlands) (2018)	89.0	
278	beyond white space (2018)	93.0	
279	bana bir soygun yaz 2 (turkey) (2018)	95.0	
280	bhajjo veero ve (india) (2018)	125.0	
281	hangman (2017)	98.0	
282	antidote (2018)	90.0	
283	andre rieu s sydney town hall concert an australian celebration (australia) (2018)	125.0	
284	singsu (2018 thailand)	103.0	
285	maine (2018)	85.0	
286	why are we creative the centipedes dilemma (germany) (2018)	84.0	
287	il testimone invisibile (italy) (2018)	102.0	
288	ask bu mu (turkey) (2018)	100.0	
289	khrustal (belarus) (2018)	95.0	
290	owarani hito miyazaki hayao (japan) (2016)	70.0	4.0
291	bumblebee	114.0	3550.0
292	bird box (2018)	117.0	
293	beau voyou un (france) (2018)	104.0	
294	photographer the (china) (2018)	112.0	
295	spider man into the spider verse 3d (2018)	117.0	3813.0
296	roma (2018)	135.0	
297	gaelic curse the (ireland)	87.0	
298	pachamama (france) (2018)	72.0	
299	remi sans famille (france) (2018)	105.0	
300	deadman standing (2018)	92.0	
301	dawning (china) (2018)	100.0	
302	dr huang danian (china) (2018)	89.0	
303	downsizing	135.0	2668.0
304	doctor who twice upon a time (uk)	60.0	
305	cuando los hijos regresan (mexico)	100.0	
306	belalilar (turkey)	76.0	
307	arth the destination (pakistan)	134.0	
308	before i die (2017)	142.0	
309	aci tatli eksi (turkey)	106.0	
310	aadu 2 (india)	160.0	
311	lucky man the (2017)	98.0	3.0
312	pitch perfect 3	93.0	3447.0
313	masterpiece (india)	160.0	
314	mca middle class abbayi (india)	144.0	
315	ji qi zhi xue (china)	110.0	
316	xin li zui zhi cheng shi zhi guang (china)	90.0	
317	namiya (china)	116.0	21.0
318	jumanji welcome to the jungle	119.0	3765.0
319	zoco de la buri buri el (argentina) (2017)	65.0	
320	yokai watch 4 (japan) (2017)	94.0	
321	dieses bescheuerte herz (germany)	104.0	
322	versprechen das (germany)	123.0	
323	unexpectedly yours (philippines)	120.0	
324	super vacanze di natale (italy)	86.0	
325	holiday inn the new irving berlin musical	128.0	
326	buttons	115.0	
327	yuan qu de mu ge (china)(2018)	94.0	
328	subrahmanyapuram (india)(2018)	133.0	
329	son cikis (turkey) (2018)	93.0	
330	snowman and the snowdog the (uk)(2018)	50.0	
331	vox lux (2018)	112.0	6.0
332	mult v kino vypusk no 86 (russia) (2018)		
333	second act (2018)	104.0	2607.0
334	rey el (spain)(2018)	84.0	
335	seytan gecidi enhara (turkey) (2018)	76.0	
336	pupille (france) (2018)	107.0	1.0
337	racetime (canada) (2018)	89.0	
338	por amor al arte (argentina) (2018)	84.0	
339	christmas carol a (uk)(2018)	81.0	
340	parque mayer (portugal)(2018)	134.0	
341	paranin kokusu (turkey) (2018)	103.0	
342	norm of the north keys to the kingdom (2018)	91.0	
343	party s just beginning the (2018)	91.0	10.0
344	ruleta rusa (argentina) (2018)	83.0	
345	mountain rest	92.0	
346	sundowners (canada)	97.0	
347	mi pequeno gran hombre (mexico) (2018)	94.0	
348	poyraz karayel kuresel sermaye (turkey)	109.0	
349	permanent (2017)	93.0	8.0
350	papita 2da base (venezuela)	150.0	
351	poveri ma ricchissimi (italy)		
352	pescadores (argentina) (2017)	81.0	
353	old beast (china) (2017)	108.0	
354	nina perro (argentina)	75.0	
355	novogodniy perepolokh (russia)		
356	natale da chef (italy)	97.0	
357	monsoon shootout (india)	92.0	
358	midnight man the (2017)	93.0	
359	muchos hijos un mono y un castillo (spain)	90.0	
360	masoch el camino del perro (argentina) (2016)	70.0	
361	maria by callas (france)	113.0	16.0
362	journey of bhangover (india)	117.0	
363	hard kaur (india)	129.0	
364	nona (2018)	91.0	
365	k3 love cruise (belgium)	95.0	
366	game of ayodhya (india)	148.0	
367	droles de petites betes (france)	77.0	
368	papatya (turkey)	94.0	
369	ek andekha sach (india)	111.0	
370	merry men the real yoruba demons (nigeria)(2018)	100.0	
371	love live sunshine aqours 4th lovelive sailing to the sunshine (japan)(2018)		
372	mary queen of scots (uk) (2018)	125.0	4.0
373	ma mere est folle (belgium) (2018)	95.0	
374	left hand and right hand (china) (2018)	95.0	
375	love afterlife (china) (2018)	93.0	
376	la scala attila (italy)(2018)	140.0	
377	la ultima busqueda (argentina) (2018)	89.0	
378	kafalar karisik (turkey) (2018)	95.0	
379	kuru (japan) (2018)	135.0	
380	kedarnath (india)(2018)	116.0	113.0
381	hospitality (2018)	80.0	
382	frank and ava (2018)	110.0	1.0
383	jin ji de nan hai (china) (2018)	94.0	
384	gekijoban haikara san ga toru zenpen tokyo dai roman (japan) (2018)	97.0	
385	eso que nos enamora (argentina) (2018)	90.0	
386	eia joulud tondikakul (2018 estonia)	90.0	
387	elephants (2018)	91.0	
388	dulce sabor del limon el (spain)(2018)	68.0	
389	dumplin (2018)	110.0	
390	devushka s kosoy (russia)	86.0	
391	drugs (documentary) (2018)	78.0	
392	deuxieme etoile la (france)	95.0	
393	desheredados los (spain)	18.0	
394	desolation (2017 sam patton directed film)	86.0	
395	blizkie (russia) (2017)	90.0	
396	ballad of lefty brown the	111.0	2.0
397	chainbreakers the (china) (2017)	97.0	
398	8 nengoshi no hanayome (japan)	119.0	
399	instant dreams (documentary) (netherlands) (2017)	91.0	
400	algo fayo (argentina)	86.0	
401	rilu rilu fairilu the movie (japan)		
402	ai de pa si ka (china)	97.0	
403	bright (2017)	117.0	
404	murder in mansfield a	88.0	
405	dolgaya doroga domoy (2017 russia)	105.0	
406	star wars ep viii the last jedi	150.0	4232.0
407	along with the gods the two worlds (south korea)	140.0	17.0
408	divide and conquer the story of roger ailes (documentary) (2018)	107.0	15.0
409	confins du monde les (france) (2018)	103.0	
410	apache warrior	88.0	
411	coming back out ball movie the (oz)(2018)	86.0	
412	gangcheolbi (s korea)	139.0	
413	chaco (argentina) (2018)	106.0	
414	greatest showman the	105.0	3006.0
415	central park (2018)	90.0	
416	boya la (argentina) (2018)	90.0	
417	certi brko (cz)(2018)	99.0	
418	bernie the dolphin (2018 canada)	88.0	
419	ben is back (2018)	103.0	4.0
420	bizim icin sampiyon (turkey) (2018)	130.0	
421	banjara the truck driver (india)(2018)	131.0	
422	back roads (2018)	101.0	
423	asterix le secret de la potion magique (france)(2018)	85.0	
424	asher (2018)	117.0	
425	belly of the whale the (ireland) (2018)	83.0	
426	apuntes para una pelicula de atracos (spain)(2018)	90.0	
427	zapovednik (russia)(2018)	110.0	
428	uchu sentai kyuurenja tai supesu sukuwaddo (japan)(2018)	65.0	
429	twiceland (s korea)(2018)	109.0	
430	tabaluga (germany)(2018)	90.0	
431	prima pietra la (italy) (2018)	77.0	
432	sem par nechistikh (russia) (2018)	81.0	
433	santiago italia (italy) (2018)	80.0	
434	tueurs (france)	86.0	
435	stebuklas (lithuania)	91.0	
436	stars 80 la suite (france)		
437	sentidos los (argentina)	72.0	
438	qi man dun jia (china)	113.0	27.0
439	richie (india)	111.0	
440	all you need is love (netherlands)	113.0	
441	rape of recy taylor the	91.0	
442	pueblo hecho cancion un (arentina) (2017)	80.0	
443	pirates of somalia the	116.0	
444	santa and cie (france)	92.0	
445	oteki taraf (turkey)	103.0	
446	zhgi (russia) (2017)	99.0	
447	november criminals	85.0	
448	on adim (turkey)	120.0	
449	national theatre live young marx (uk 2017)		
450	maide nin altin gunu (turkey)	104.0	
451	makala (france)	96.0	
452	lerd (iran)	117.0	
453	royal opera house the nutcracker 2017 18 (uk)		
454	north of peking the (china)	99.0	
455	just getting started	90.0	2161.0
456	jia ru wang zi shui zhao le (china)	101.0	
457	libenjyeo (s korea)(2018)	101.0	
458	llueven vacas (spain)	75.0	
459	first kiss (netherlands)(2018)	88.0	
460	kamen raida heisei jenereshonzu fainaru birudo ando eguzeido wizu rejendo raida (japan)	91.0	
461	hope of road (china) (2018)	115.0	
462	claras ghost (2018)	80.0	
463	ama (documentary) (uk ) (2018)	73.0	
464	beongaemaenui bimil (s korea)(2018)	69.0	
465	100 dinge (germany)(2018)	111.0	
466	aquaman (2018)	143.0	4125.0
467	jinsei furutsu (japan)(2016)	91.0	
468	tyrel (2018)	86.0	5.0
469	mortal engines (2018)	128.0	3103.0
470	running man (s korea)(2018)	69.0	
471	life is a belief (china) (2018)	104.0	
472	water lilies of monet the magic of water and light (italy) (2018)	80.0	
473	dog 13 (china)(2018)	119.0	
474	waiting for me in heaven (china) (2018)	129.0	
475	until judge do us apart (italy) (2018)		
476	vision (france) (2018)	109.0	
477	tus desperdicios y otros manjares (documentary) (spain)(2018)	72.0	
478	slay belles (2018)	77.0	
479	i am evidence (documentary)	89.0	
480	i tonya	120.0	4.0
481	hollow in the land (canada)	92.0	
482	gogitas new life (russia)		
483	tiger (2018)	100.0	
484	doeorak (s korea)(2018)	102.0	
485	un giorno all improvviso (italy) (2018)	88.0	
486	gek van geluk (netherlands)	106.0	
487	gardiennes les (france)	135.0	1.0
488	from the ground up (2017 santino panico directed sports diet documentary)	95.0	
489	galpon de mascaras (argentina) (2017)	74.0	
490	forbidden (iran)	98.0	
491	fukrey returns (india)	131.0	
492	fe de etarras (spain)	89.0	
493	duvka za baloncheta (bulgaria)	104.0	
494	ferdinand	107.0	3621.0
495	fan zha feng bao (china)	90.0	
496	destiny kamakura monogatari (japan)	129.0	
497	cometa el su perro y su mundo (mexico)	105.0	
498	fang hua (china)	136.0	30.0
499	bullet head	93.0	
500	cemento el documental (argentina)	105.0	
501	askeladden i dovregubbens hall (norway)	104.0	
502	sermon on the mount (s korea)	124.0	
503	cho haeng (south korea) (2017)	100.0	
504	surviving christmas with the relatives (uk)(2018)	101.0	
505	smart christmas (bulgaria) (2018)	90.0	
506	sky stream (china) (2018)	93.0	
507	royal opera house the nutcracker (uk) (2018)	140.0	
508	sauver ou perir (france)(2018)	116.0	
509	quinqui stars (spain)(2018)	126.0	
510	song of back and neck (2018)	85.0	
511	and the winner isnt (uk)	96.0	
512	route 33 (china) (2018)	98.0	
513	plagi breslau (poland)(2018)	93.0	
514	people s republic of desire (documentary)	95.0	2.0
515	please remember me (china) (2018)	96.0	
516	mulai (lithuania)(2018)	88.0	
517	miriam miente (spain)(2018)	90.0	
518	louis theroux love without limits (uk)(2018)	60.0	
519	legend of tang dynasty 2 (china) (2018)	89.0	
520	lola et ses freres (france) (2018)	105.0	
521	ovunque proteggimi (italy) (2018)	110.0	
522	kido senshi gandamu nt (naratibu) (japan) (2018)	88.0	
523	hotel explotacion las kellys (spain)(2018)	55.0	
524	hedefim sensin (turkey) (2018)	112.0	
525	julia y el zorro (argentina) (2018)	105.0	
526	isabelle (italy) (2018)	90.0	
527	head full of honey (2018)	139.0	4.0
528	fantastic dream trip (china) (2018)	90.0	
529	ghostbox cowboy (2018)	110.0	
530	premio il (italy)	100.0	
531	pororo dinosaur island adventure (s korea)	79.0	
532	insulte l (lebanon)	112.0	3.0
533	dolaonda (2017)	95.0	
534	wonder wheel (2017)	101.0	5.0
535	wo yao xing fu (china)	90.0	
536	woman of no importance a 2017 (uk theatre)	150.0	
537	viraam (india)	110.0	
538	vele hemels boven de zevende (netherlands)	119.0	
539	verao danado (portugal)	127.0	
540	villa la (france)	107.0	
541	tribes of palos verdes the	104.0	1.0
542	ugly duckling (turkey)	91.0	
543	umbral (argentina)	80.0	
544	tera intezaar (india)	108.0	
545	touken ranbu hanamaru makuai kaisouroku (japan) (2017)		
546	tantei wa bar ni iru 3 (japan) (2017)	122.0	
547	thiruttu payale 2 (india)	147.0	
548	soldier grandpa (china) (2017)	90.0	
549	solar (argentina)	73.0	
550	thrill ride (2016)		
551	exterminadores do alem contra a loira do banheiro (brazil) (2018)	103.0	
552	fake partner (china)(2018)	86.0	
553	sinfonia en abril (argentina) (2017)	74.0	
554	er shi sui (china) (2018)	90.0	
555	durante la tormenta (spain)(2018)	128.0	
556	diamantino (portugal) (2018)	92.0	1.0
557	driverx (2018)	98.0	
558	chvilky (cz)(2018)	93.0	
559	borc (turkey) (2018)	95.0	
560	entre dos aguas (spain)(2018)	136.0	
561	bolshoi ballet don quixote (russia)(2018)		
562	bi bei shang geng bei shang de gu shi (taiwan) (2018)	105.0	26.0
563	blood brother (2018)	90.0	
564	bathtubs over broadway (2018)	87.0	
565	araghe sard (iran) (2018)	85.0	
566	behold my heart	80.0	
567	2 0 (india)(2018)	148.0	
