title,international_box_office,domestic_box_office,worldwide_box_office,production_budget,normalized_title,Movie_ID
the connection,3739582,,3739582,,the connection,152
delaware shore,,,,,delaware shore,153
dantza,262301,,262301,,dantza,154
d p a detetives do pr dio azul 2 o filme,4432618,,4432618,,d p a detetives do pr dio azul 2 o filme,155
between worlds,,,,,between worlds,156
antariksham 9000 kmph,39040,,39040,,antariksham 9000 kmph,157
blue amber,25049,,25049,,blue amber,158
a lo une odyss e en laponie,1991200,,1991200,,a lo une odyss e en laponie,159
adanga maru,30612,,30612,,adanga maru,160
tri bogatyrya i naslednitsa prestola,9343851,,9343851,,tri bogatyrya i naslednitsa prestola,161
bolshoi ballet the nutcracker,354373,,354373,,bolshoi ballet the nutcracker,162
holmes watson,11357862,30568743,41926605,42000000,holmes watson,163
holmes watson,11357862,30568743,41926605,42000000,holmes watson,31244
holmes watson,11357862,30568743,41926605,42000000,holmes watson,33669
zanjas,570,,570,,zanjas,164
it s march 3rd again,1160000,,1160000,,it s march 3rd again,165
the wedding party 2 destination dubai,61975,11140,73115,,the wedding party 2 destination dubai,166
sin filtro,174,,174,,sin filtro,167
yao ling ling,57442237,186135,57628372,,yao ling ling,168
politseyskiy s rublyovki novogodniy bespredel,27061365,,27061365,,politseyskiy s rublyovki novogodniy bespredel,169
paray bulduk,16590,,16590,,paray bulduk,170
napoli velata,7197082,,7197082,,napoli velata,171
klas s susitikimas berniukai sugr ta,1636978,,1636978,,klas s susitikimas berniukai sugr ta,172
kalavaadiya pozhuthugal,5317,,5317,,kalavaadiya pozhuthugal,173
momo,5181844,,5181844,,momo,174
gulu mermaid 2,1653264,,1653264,,gulu mermaid 2,175
gandarrappido the revenger squad,21271,,21271,,gandarrappido the revenger squad,176
fala s rio m e,11616161,,11616161,,fala s rio m e,177
l change des princesses,3078723,,3078723,,l change des princesses,178
okka kshanam,1516,,1516,,okka kshanam,179
forget about nick,41963,,41963,,forget about nick,180
come un gatto in tangenziale,11282642,,11282642,,come un gatto in tangenziale,181
seuwingkizeu,10681258,222001,10903259,,seuwingkizeu,182
capri revolution,828363,,828363,,capri revolution,183
maya,130997,,130997,,maya,184
mayakwang,14446477,,14446477,,mayakwang,185
nachtwacht de poort der zielen,198335,,198335,,nachtwacht de poort der zielen,186
l empereur de paris,8628811,,8628811,,l empereur de paris,187
le gendre de ma vie,3623355,,3623355,,le gendre de ma vie,188
amici come prima,9367230,,9367230,,amici come prima,189
zhong guo he huo ren 2,3004460,,3004460,,zhong guo he huo ren 2,190
mary poppins returns,176942594,171958438,348901032,130000000,mary poppins returns,191
a christmas carol,,,,,a christmas carol,192
the wedding,2513,,2513,,the wedding,193
yo kai watch movie 5 forever friends,10441722,,10441722,,yo kai watch movie 5 forever friends,194
volver a boedo,16032,,16032,,volver a boedo,195
yuli,4326104,,4326104,,yuli,196
turtle odyssey 3d,141256,,141256,,turtle odyssey 3d,197
three words to forever,17076,,17076,,three words to forever,198
trote,6538,,6538,,trote,199
that way madness lies,,1447,,650000,that way madness lies,200
la vida que te agenciaste,63,,63,,la vida que te agenciaste,201
there will be ample time,9135,,9135,,there will be ample time,202
stolen fairytales,5197,,5197,,stolen fairytales,203
at kapi ask,36969,,36969,,at kapi ask,204
skjelvet,4046173,6235,4052408,,skjelvet,205
caff,157683,,157683,,caff,206
seethakaathi,10103,,10103,,seethakaathi,207
balloon,2186353,,2186353,,balloon,208
barkley,1926435,,1926435,,barkley,209
basmati blues,15651,,15651,,basmati blues,210
asya,2,,2,,asya,211
anons,24879,,24879,,anons,212
aruvi,863,,863,,aruvi,213
dvizhenie vverkh,61925449,,61925449,7800000,dvizhenie vverkh,214
er dai yao jing,46154324,,46154324,,er dai yao jing,215
1987 when the day comes,51775357,,51775357,,1987 when the day comes,216
