Movie_ID,worldwide_box_office
359,408.0
360,2795383.0
361,1760.0
362,3162.0
363,
364,1081993.0
365,5152.0
366,14163162.0
367,2057.0
368,1992.0
369,4315.0
370,13640.0
371,47020146.0
372,447679.0
373,3346.0
374,36540.0
375,33873.0
376,773.0
377,1979548.0
378,5041160.0
379,1187432.0
380,
381,
382,65446.0
383,
384,4650.0
385,
386,
387,349.0
388,399198.0
389,47374.0
390,
391,3320313.0
392,902.0
393,
394,2043.0
395,
396,282320.0
397,24326715.0
398,
399,1190.0
400,422386.0
401,512000.0
402,
403,
404,70.0
405,1331635141.0
406,107476731.0
407,
30773,
408,245034.0
409,
410,7072.0
411,33276122.0
412,489.0
413,433606178.0
414,
415,5013.0
416,1641333.0
417,18119.0
418,12616995.0
419,6003561.0
420,49757.0
421,
422,73237594.0
423,
424,9626.0
425,12023.0
426,166535.0
427,60372.0
428,136516.0
429,4835711.0
430,420807.0
431,12029.0
432,1106813.0
433,309477.0
434,97649.0
435,1978927.0
436,1962.0
437,46263233.0
438,10815.0
439,3565259.0
440,7729.0
441,645.0
442,26421.0
443,18481089.0
444,1197507.0
445,313100.0
446,
447,251.0
448,716418.0
449,2512221.0
450,127277.0
451,915073.0
452,1635471.0
453,143865.0
454,6756412.0
455,828455.0
456,20699.0
457,4777.0
458,368097.0
459,10289397.0
460,255779.0
461,
462,
463,352891.0
464,13946006.0
465,1143758700.0
466,471514.0
467,
468,85480271.0
469,1264724.0
470,173603.0
471,546584.0
472,7448509.0
473,60326.0
474,2985.0
475,114150.0
476,127.0
477,
478,1145.0
479,53797409.0
31309,53797409.0
480,
481,3084.0
482,
483,11366235.0
484,31298.0
485,1440342.0
486,4167203.0
487,
488,374.0
489,1679.0
490,16101765.0
491,12498.0
492,402330.0
493,289838913.0
494,8595808.0
495,35099354.0
496,122916.0
497,227089269.0
498,153930.0
499,4077.0
500,292147.0
501,357435.0
502,37810.0
503,36805.0
504,179613.0
505,2789574.0
452,1512712.0
506,8123617.0
507,9409.0
508,
509,
510,8405.0
511,112734.0
512,
513,11350.0
514,31424.0
515,785.0
516,95114.0
517,45521268.0
518,2348186.0
519,88944.0
520,5866131.0
521,300.0
522,4369198.0
523,2901.0
524,13296.0
525,138945.0
526,49227.0
527,
528,1184346.0
529,5824076.0
530,3349351.0
531,83132.0
532,13736872.0
533,2750684.0
534,483266.0
535,2522.0
