year,release_date,title,genre,international_box_office,production_budget,Movie_ID
2000,August 25th,the crew,Comedy,,"23000000,00",20450
2000,August 25th,the art of war,Thriller/Suspense,"10191826,00","40000000,00",20608
2000,August 23rd,fast pitch,,,,20609
2000,August 18th,place vendome,Drama,,,20610
2000,August 18th,steal this movie,,,,20611
2000,August 25th,bittersweet motel,Documentary,,,20612
2000,August 18th,godzilla 2000,Action,,"1000000,00",20613
2000,August 16th,the ballad of ramblin jack,Documentary,,,20614
2000,August 16th,the ballad of ramblin jack,Documentary,,,32720
2000,August 18th,1999 cannes intl adv festival,,,,20616
2000,August 18th,the cell,Thriller/Suspense,"24630263,00","35000000,00",20617
2000,August 11th,sunset strip,,,,20618
2000,August 11th,the replacements,Comedy,"5317452,00","50000000,00",20619
2000,August 11th,the opportunists,Drama,,,20620
2000,August 18th,the original kings of comedy,Concert/Performance,"68316,00","3000000,00",20621
2000,August 11th,intern,,,,20622
2000,August 11th,mvp most valuable primate,Adventure,,,20623
2000,August 11th,mvp most valuable primate,Adventure,,,31927
2000,August 11th,bless the child,Horror,"11061516,00","40000000,00",20624
2000,August 11th,cecil b demented,Black Comedy,"676898,00","10000000,00",20625
2000,August 11th,cecil b demented,Black Comedy,"676898,00","10000000,00",30539
2000,August 11th,dhadkan,,,,20626
2000,August 11th,autumn in new york,Drama,"52964753,00","40000000,00",20628
2000,August 11th,lea,,,,5927
2016,July 15th,lea,Drama,"64194,00",,5927
2000,August 4th,the tic code,Drama,,,20782
2000,August 11th,aim e jaguar,Drama,,"6800000,00",20783
2000,August 4th,the tao of steve,Romantic Comedy,"63827,00",,20784
2000,August 4th,space cowboys,Adventure,"38420000,00","65000000,00",20785
2000,August 4th,saving grace,Comedy,"15608247,00","4000000,00",20787
2000,August 4th,i m the one that i want,Concert/Performance,,,20789
2000,August 4th,une liaison pornographique,Drama,,,20790
2000,August 4th,psycho beach party,Comedy,,"4000000,00",20791
2000,August 4th,har dil jo pyar karega,Musical,,,20792
2000,August 4th,hollow man,Horror,"117990660,00","90000000,00",20793
2000,August 4th,coyote ugly,Drama,"53130205,00","45000000,00",20794
2000,August 4th,mad about mambo,Romantic Comedy,,,20795
2000,August 4th,better living,Comedy,,,20796
2000,July 28th,the wind will carry us,,,,20797
2000,July 28th,wonderland,,"1405932,00",,17308
2003,October 3rd,wonderland,Drama,"67956,00","5500000,00",17308
2000,July 28th,nutty professor ii the klumps,Comedy,"43000000,00","84000000,00",20798
2000,July 28th,nutty professor ii the klumps,Comedy,"43000000,00","84000000,00",32040
2000,July 29th,ringu 2,Horror,"3474,00",,20799
2000,July 26th,thomas and the magic railroad,Adventure,,"19000000,00",20800
2000,July 28th,girl on the bridge,Romantic Comedy,"17359,00",,20801
2000,July 28th,ins parables,,,,20802
2019,September 6th,ins parables,Comedy,"8159189,00",,20802
2000,April 11th,chopper,Drama,"3746436,00",,20806
2000,July 21st,spent,,,,20967
2000,July 21st,what lies beneath,Thriller/Suspense,"133229638,00","90000000,00",20968
2000,July 21st,pokemon 2000,Adventure,"90200000,00","30000000,00",20969
2000,July 21st,the eyes of tammy faye,Documentary,"50413,00",,20970
2021,September 17th,the eyes of tammy faye,Drama,"239840,00",,20970
2000,July 21st,loser,Romantic Comedy,"2786080,00","20000000,00",20971
2000,July 21st,benjamin smoke,Documentary,,,20972
2000,July 21st,criminal lovers,,,,20973
2000,July 21st,alice et martin,Drama,,,20974
2000,July 19th,the in crowd,Thriller/Suspense,,"15000000,00",20975
2000,July 15th,jukgeona hokeun nabbeugeona,Action,"13251,00",,20976
2000,July 14th,the wisdom of crocodiles,,,,20978
2000,July 14th,shadow hours,,,,20979
2000,July 14th,sweet jane,,,,20980
2000,July 14th,x men,Action,"139572650,00","75000000,00",20981
2000,July 14th,refugee,Drama,,,20982
2000,July 14th,mookie,Comedy,,,20983
2000,July 14th,jungle,,,,3184
2017,October 20th,jungle,Action,"1287789,00",,3184
2000,July 14th,the five senses,Musical,,,20984
2000,July 14th,chuck buck,Drama,"102001,00","250000,00",20985
2000,July 14th,chuck buck,Drama,"102001,00","250000,00",30582
2000,July 14th,the night larry kramer kissed me,,,,20986
2000,July 14th,la debandade,,,,20987
2000,July 12th,gouttes d eau sur pierres br lantes,,,,20989
2000,July 7th,la vie apr s l amour,Comedy,,,20990
2000,July 7th,shower,Drama,,,21137
2000,July 7th,but i m a cheerleader,Comedy,"303717,00","1200000,00",21138
2000,July 1st,solarmax,Documentary,"12466,00",,21139
2000,July 7th,the kid,Comedy,,"65000000,00",21140
2019,March 8th,the kid,Western,"84580,00","7000000,00",21140
2000,June 30th,surviving paradise,,,,21141
2000,July 7th,scary movie,Comedy,"120180229,00","19000000,00",21142
2000,June 30th,the adventures of rocky bullwinkle,Adventure,"9129000,00","76000000,00",21143
2000,June 30th,the adventures of rocky bullwinkle,Adventure,"9129000,00","76000000,00",32691
2000,June 30th,the adventures of rocky bullwinkle,Adventure,"9129000,00","76000000,00",34283
2000,June 30th,the perfect storm,Drama,"146093000,00","120000000,00",21144
2000,June 28th,the patriot,Drama,"101969658,00","110000000,00",21145
2000,June 28th,trixie,,,,21146
2000,June 23rd,the woman chaser,,,"150000,00",21147
2000,June 30th,burlesk king,Drama,,,21148
2000,June 30th,praise,,,,21149
2000,June 23rd,pariah,,,,20
2011,December 28th,pariah,Drama,,,20
2000,June 23rd,boricua s bond,Drama,,,21150
2000,June 23rd,me myself irene,Romantic Comedy,"58700000,00","51000000,00",21151
