TITLE,Movie_ID,worldwide_box_office
la deuxi    me     toile,391,3320313.0
los desheredados,392,902.0
desolation,393,
desolation,393,
blizkie,394,2043.0
the ballad of lefty brown,395,
the chainbreakers,396,282320.0
8 nengoshi no hanayome,397,24326715.0
instant dreams,398,
algo fay,399,1190.0
rilu rilu fairilu the movie,400,422386.0
ai de pa si ka,401,512000.0
bright,402,
a murder in mansfield,403,
dolgaya doroga domoy,404,70.0
star wars ep  viii  the last jedi,405,1331635141.0
along with the gods  the two worlds,406,107476731.0
divide and conquer  the story of roger ailes,407,
les confins du monde,408,245034.0
apache warrior,409,
the coming back out ball movie,410,7072.0
gangcheolbi,411,33276122.0
chaco,412,489.0
the greatest showman,413,433606178.0
central park,414,
la boya,415,5013.0
ert     brko,416,1641333.0
bernie the dolphin,417,18119.0
ben is back,418,12616995.0
bizim         in  …  ampiyon,419,6003561.0
banjara  the truck driver,420,49757.0
back roads,421,
ast    rix  le secret de la potion magique,422,73237594.0
asher,423,
the belly of the whale,424,9626.0
apuntes para una pel    cula de atracos,425,12023.0
zapovednik,426,166535.0
uch     sentai kyuurenj     tai sup    su sukuwaddo,427,60372.0
twiceland,428,136516.0
tabaluga,429,4835711.0
la prima pietra,430,420807.0
sem par nechistikh,431,12029.0
santiago  italia,432,1106813.0
tueurs,433,309477.0
stebuklas,434,97649.0
stars 80  la suite,435,1978927.0
los sentidos,436,1962.0
qi man dun jia,437,46263233.0
richie,438,10815.0
all you need is love,439,3565259.0
all you need is love,439,
the rape of recy taylor,440,7729.0
un pueblo hecho canci    n,441,645.0
the pirates of somalia,442,26421.0
santa   cie,443,18481089.0
teki taraf,444,1197507.0
zhgi,445,313100.0
november criminals,446,
on adim,447,251.0
national theatre live  young marx,448,716418.0
maide nin alt    n g    n,449,2512221.0
makala,450,127277.0
lerd,451,915073.0
royal opera house  the nutcracker,452,1635471.0
royal opera house  the nutcracker,452,1512712.0
royal opera house  the nutcracker,452,796099.0
royal opera house  the nutcracker,452,91579.0
royal opera house  the nutcracker,452,586810.0
the north of peking,453,143865.0
just getting started,454,6756412.0
jia ru wang zi shui zhao le,455,828455.0
libenjyeo,456,20699.0
llueven vacas,457,4777.0
first kiss,458,368097.0
kamen raid     heisei jener    shonzu fainaru  birudo ando eguzeido wizu rejendo raid,459,10289397.0
hope of road,460,255779.0
clara        s ghost,461,
am,462,
beongaemaenui bimil,463,352891.0
100 dinge,464,13946006.0
aquaman,465,1143758700.0
jinsei fur    tsu,466,471514.0
tyrel,467,
mortal engines,468,85480271.0
running man,469,1264724.0
life is a belief,470,173603.0
water lilies of monet   the magic of water and light,471,546584.0
dog 13,472,7448509.0
waiting for me in heaven,473,60326.0
until judge do us apart,474,2985.0
vision,475,114150.0
vision,475,
tus desperdicios y otros manjares,476,127.0
slay belles,477,
i am evidence,478,1145.0
i  tonya,479,53797409.0
hollow in the land,480,
gogita s new life,481,3084.0
tiger,482,
doeorak,483,11366235.0
un giorno all improvviso,484,31298.0
gek van geluk,485,1440342.0
les gardiennes,486,4167203.0
from the ground up,487,
galp    n de m    scaras,488,374.0
forbidden,489,1679.0
fukrey returns,490,16101765.0
fe de etarras,491,12498.0
d …  vka za baloncheta,492,402330.0
ferdinand,493,289838913.0
fan zha feng bao,494,8595808.0
destiny  kamakura monogatari,495,35099354.0
cometa el  su perro y su mundo,496,122916.0
fang hua,497,227089269.0
bullet head,498,153930.0
cemento  el documental,499,4077.0
askeladden          i dovregubbens hall,500,292147.0
sermon on the mount,501,357435.0
cho haeng,502,37810.0
surviving christmas with the relatives,503,36805.0
smart christmas,504,179613.0
sky stream,505,2789574.0
sauver ou p    rir,506,8123617.0
quinqui stars,507,9409.0
song of back and neck,508,
and the winner isn        t,509,
route 33,510,8405.0
plagi breslau,511,112734.0
people        s republic of desire,512,
please remember me,513,11350.0
please remember me,513,46805.0
mulai,514,31424.0
miriam miente,515,785.0
louis theroux  love without limits,516,95114.0
legend of tang dynasty 2,517,45521268.0
lola et ses fr    res,518,2348186.0
ovunque proteggimi,519,88944.0
kid …    senshi gandamu nt,520,5866131.0
hotel explotacion  las kellys,521,300.0
hedefim sensin,522,4369198.0
julia y el zorro,523,2901.0
isabelle,524,13296.0
isabelle,524,386250.0
head full of honey,525,138945.0
fantastic dream trip,526,49227.0
ghostbox cowboy,527,
il premio,528,1184346.0
pororo  dinosaur island adventure,529,5824076.0
l        insulte,530,3349351.0
dolaonda,531,83132.0
wonder wheel,532,13736872.0
wo yao xing fu,533,2750684.0
a woman of no importance,534,483266.0
viraam,535,2522.0
vele hemels boven de zevende,536,591680.0
ver    o danado,537,4027.0
la villa,538,5652066.0
the tribes of palos verdes,539,
ugly duckling,540,177.0
umbral,541,1188.0
tera intezaar,542,295700.0
touken ranbu  hanamaru   makuai kaisouroku,543,374052.0
tantei wa bar ni iru 3,544,5589299.0
thiruttu payale 2,545,14378.0
soldier grandpa,546,3314.0
solar,547,948.0
thrill ride,548,
exterminadores do al    m contra a loira do banheiro,549,213040.0
fake partner,550,213273.0
sinfon    a en abril,551,420.0
er shi sui,552,457137.0
durante la tormenta,553,17361796.0
diamantino,554,234960.0
driverx,555,
chvilky,556,7718.0
bor,557,4618.0
entre dos aguas,558,156223.0
bolshoi ballet  don quixote,559,89119.0
bolshoi ballet  don quixote,559,231227.0
bi bei shang geng bei shang de gu shi,560,151056221.0
blood brother,561,
blood brother,561,
bathtubs over broadway,562,
araghe sard,563,86880.0
behold my heart,564,6180.0
2,565,6871135.0
vse ili nichego,566,1421636.0
l uomo che compr     la luna,567,1242952.0
spitak,568,51018.0
the seven deadly sins  prisoners of the sky,569,73439.0
ride,570,337046.0
ride,570,
ride,570,328531.0
ride,570,
se son rose,571,4878325.0
saem,572,19389.0
qu     le    n,573,
provodnik,574,471360.0
si tu voyais son coeur,575,3700.0
shadowman,576,
p …       n     k m    n,577,316507.0
psychopaths,578,51075.0
posoki,579,195050.0
the shape of water,580,195790794.0
plonger,581,184474.0
o fim da inoc    ncia,582,536807.0
opera de paris  don carlos,583,10610.0
the new radical,584,
ni    ato,585,4847.0
mujeres en foco film festival,586,2.0
maximum impact,587,31806.0
metallica quebec magnetic,588,54770.0
love beats rhymes,589,
love  cecil,590,107940.0
life   nothing more,591,61248.0
kvarteto,592,231230.0
kolovrat,593,10424668.0
k    rfez,594,7337.0
mao pai jian hu ren,595,278865.0
kill me please,596,8242805.0
meow wolf  origin story,597,
kiwi christmas,598,198807.0
mowgli  legend of the jungle,599,
respect,600,15700.0
respect,600,31804499.0
os par    as,601,6290388.0
gukgabudoui nal,602,27519661.0
from the mountain a smile,603,550000.0
hello life,604,693523.0
the possession of hannah grace,605,42873730.0
piripkura,606,
super kids  attack,607,4979.0
zhong guo lan kui,608,2585854.0
mult v  kino vypusk no  85,609,106847.0
doubles vies,610,3499472.0
write when you get work,611,
vendr    n lluvias suaves,612,2119.0
unidad xv,613,3047.0
yomeddine,614,81030.0
thimiru pudichavan,615,2839.0
8 remains,616,
todas las mujeres que conozco,617,3206.0
unga astrid,618,961329.0
jupiter holdja,619,51741.0
inoperable,620,
kepler        s dream,621,
judge zhongkui,622,44028.0
the grudge,623,886183.0
the grudge,623,187281115.0
the grudge,623,49503265.0
hagane no renkinjutsushi,624,8053641.0
ge    mi …  teki s    r,625,2108.0
gangster land,626,5124.0
firangi,627,1623686.0
c est tout pour moi,628,5521370.0
the eighth day of a week,629,13739.0
eat locals,630,6560.0
drawing home,631,
camino a marte,632,1566750.0
the disaster artist,633,28717667.0
daisy winters,634,
breaking brooklyn,635,
dian di lian meng,636,638695.0
souvenir the movie   mariya takeuchi theater live,637,480066.0
superl    pez,638,15458332.0
seguimi,639,4755.0
save my dogs,640,142235.0
irdys,641,285883.0
strange colours,642,13810.0
the royal edinburgh military tattoo,643,105947.0
rang panjab,644,8965.0
put  …  eylere,645,16590.0
on the basis of sex,646,38837336.0
qi pao xian sheng,647,32405.0
na stoj    ka v kin,648,5241.0
mimi a l    za  z    hada viano     n    ho svetla,649,28043.0
pattinapakkam,650,17409.0
milosc jest wszystkim,651,3053690.0
nativity rocks,652,4121839.0
maniac tales,653,155.0
marriage palace,654,34335.0
mauvaises herbes,655,3067900.0
el misterio del padre p    o,656,178784.0
badsville,657,
big time,658,
aska geldik,659,2924.0
another wolfcop,660,
annadurai,661,4121.0
al desierto,662,9644.0
aile aras    nda,663,15665230.0
alien invasion  s u m 1,664,
32 pills  my sister        s suicide,665,
smetto quando voglio   ad honorem,666,2990409.0
12 jours,667,712720.0
konvert,668,139595.0
breathing,669,289527.0
kolobanga  privet  internet,670,379371.0
a bad idea gone wrong,671,
ona,672,72909.0
amori che non sanno stare al mondo,673,371385.0
agagil,674,42424.0
naples        44,675,
stage v,676,
no beast so fierce,677,
v …  echno nebo nic,678,1515221.0
la trilogie marseillaise,679,
super kindergarten,680,290308.0
slumber,681,1046151.0
vier gegen die bank,682,9165727.0
she s from another planet,683,17869.0
pooh   l ultimo concerto,684,465079.0
the london palladium  the king and i,685,2692737.0
lemonade,686,214423.0
kazokuiro,687,1466815.0
juzni vetar,688,233559.0
jumpman,689,18734.0
jaulas,690,13587.0
invisible hands,691,
les filles du soleil,692,168892.0
hillbilly,693,
i used to be normal,694,4917.0
grandma s home,695,35189.0
ferrante fever,696,14520.0
zhui bu,697,18339343.0
